"Package","Version","Priority"
"abind","1.4-5",NA
"ade4","1.7-22",NA
"adehabitatHR","0.4.20",NA
"adehabitatLT","0.3.26",NA
"adehabitatMA","0.3.15",NA
"alphashape3d","1.3.2",NA
"amt","0.1.7",NA
"animation","2.7",NA
"ape","5.7-1",NA
"askpass","1.1",NA
"assertthat","0.2.1",NA
"audio","0.1-10",NA
"av","0.8.3",NA
"backports","1.4.1",NA
"bannerCommenter","1.0.0",NA
"base64enc","0.1-3",NA
"basemaps","0.0.5",NA
"bayestestR","0.13.1",NA
"bcpa","1.3.2",NA
"Bessel","0.6-0",NA
"BH","1.81.0-1",NA
"biomod2","4.2-2",NA
"bit","4.0.5",NA
"bit64","4.0.5",NA
"bitops","1.0-7",NA
"blob","1.2.3",NA
"boot","1.3-28.1","recommended"
"brew","1.0-8",NA
"brio","1.1.3",NA
"broom","1.0.3",NA
"BRRR","1.2",NA
"bslib","0.4.2",NA
"cachem","1.0.6",NA
"callr","3.7.3",NA
"car","3.1-1",NA
"carData","3.0-5",NA
"caret","6.0-93",NA
"cartogram","0.2.2",NA
"cartography","3.1.3",NA
"cellranger","1.1.0",NA
"charlatan","0.5.0",NA
"checkmate","2.1.0",NA
"CircStats","0.2-6",NA
"circular","0.4-95",NA
"classInt","0.4-8",NA
"cli","3.6.0",NA
"clipr","0.8.0",NA
"clock","0.6.1",NA
"cluster","2.1.4","recommended"
"colorspace","2.1-0",NA
"commonmark","1.8.1",NA
"concaveman","1.1.0",NA
"config","0.3.1",NA
"configr","0.3.5",NA
"conflicted","1.2.0",NA
"corrplot","0.92",NA
"cowplot","1.1.1",NA
"cowsay","0.8.0",NA
"cpp11","0.4.3",NA
"crayon","1.5.2",NA
"credentials","1.3.2",NA
"crosstalk","1.2.0",NA
"crs","0.15-37",NA
"crsmeta","0.3.0",NA
"crul","1.3",NA
"ctmm","1.1.0",NA
"cubature","2.0.4.6",NA
"curl","5.0.0",NA
"data.table","1.14.8",NA
"datawizard","0.7.1",NA
"DBI","1.1.3",NA
"dbplyr","2.3.0",NA
